[2024-11-29 18:17:31,049 INFO server]: Logging to ./output_test/result_Server_2024-11-29-18:17:31.txt
[2024-11-29 18:17:40,188 INFO server]: Received GetConfiguration request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:17:40,223 INFO server]: Received GetConfiguration request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:17:40,268 INFO server]: Received GetGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:17:40,286 INFO server]: Received GetConfiguration request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:17:40,297 INFO server]: Received GetGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:17:40,338 INFO server]: Received GetGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:17:40,376 INFO server]: Received GetConfiguration request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:17:40,411 INFO server]: Received GetGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:17:40,442 INFO server]: Received InvokeCustomAction set_sample_size request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:17:40,443 INFO server]: Received InvokeCustomAction set_sample_size request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:17:40,444 INFO server]: Received InvokeCustomAction set_sample_size request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:17:40,447 INFO server]: Received InvokeCustomAction set_sample_size request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:18:31,222 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:18:31,282 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:18:31,471 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:18:31,618 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:19:17,986 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:19:18,017 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:19:18,266 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:19:18,300 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:19:58,052 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:19:58,382 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:19:58,461 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:19:58,536 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:20:40,120 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:20:40,623 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:20:40,666 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:20:40,956 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:21:36,620 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:21:37,778 INFO server]: Received UpdateGlobalModel request from client 971b8dfe-ad22-42bb-98a7-fdef61121347
[2024-11-29 18:21:37,989 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
[2024-11-29 18:21:38,277 INFO server]: Received UpdateGlobalModel request from client bde2661d-8e70-43a3-95b9-df8f2bb9e806
[2024-11-29 18:22:32,944 INFO server]: Received UpdateGlobalModel request from client b6c66101-78f2-42e1-851f-64781673045f
[2024-11-29 18:22:32,996 INFO server]: Received UpdateGlobalModel request from client d0003d4f-67e8-4a3a-bd5f-5faf477f4ccb
